product_id,name,description,content_url,price,release_date,1,site_url
168,우성레포츠 아리프 안티버스트 미니 짐볼 25cm 2개 세트,"종류 : 돔볼형태 : 원형크기 : 25cm최대하중 : 150kg특징 : 터짐방지, 펌프포함색상 : 그레이, 코랄",https://shopping-phinf.pstatic.net/20230421_16_22/ea471d70-0bb9-40ed-bd03-604853bc8119/255966412.jpg,7900,2023-04-01,9,https://search.shopping.naver.com/catalog/39519695618
169,멜킨스포츠 안티버스트 스트라이프 짐볼 85cm,"크기 : 85cm특징 : 터짐방지색상 : 실버, 블루, 핑크, 퍼플",https://shopping-phinf.pstatic.net/20220922_10_25/7868f3ff-93b6-4b7c-8873-4daf7d0c7819/513903925.jpg,13900,2018-02-01,9,https://search.shopping.naver.com/catalog/13561506188
170,리복 트레이닝 짐볼 RAB-12015 55CM,"종류 : 짐볼형태 : 원형크기 : 55cm최대하중 : 110kg특징 : 터짐방지, 미끄럼방지색상 : 블랙, 그레이",https://shopping-phinf.pstatic.net/main_2756722/27567227522.20210614092448.jpg?type=f640,19560,2021-06-01,9,https://search.shopping.naver.com/catalog/27567227522
171,EYENTERPRISE 구스짐 프리미엄 짐볼 55CM,"종류 : 짐볼형태 : 원형크기 : 55cm최대하중 : 150kg특징 : 터짐방지, 미끄럼방지색상 : 블랙, 블루, 레드",https://shopping-phinf.pstatic.net/main_2759691/27596913523.20210811161144.jpg?type=f640,8000,2021-06-01,9,https://search.shopping.naver.com/catalog/27596913523
172,제이힐 미니 짐볼 25cm,종류 : 미니짐볼형태 : 원형크기 : 25cm특징 : 터짐방지색상 : 실버,https://shopping-phinf.pstatic.net/main_3303867/33038676620.20220620103113.jpg?type=f640,3900,2022-06-01,9,https://search.shopping.naver.com/catalog/33038676620
173,코리아스포츠 프로스펙스 짐볼 55cm,"종류 : 짐볼형태 : 원형크기 : 55cm최대하중 : 150kg특징 : 터짐방지, 미끄럼방지색상 : 골드",https://shopping-phinf.pstatic.net/main_3304227/33042274618.20220620153426.jpg?type=f640,12870,2022-06-01,9,https://search.shopping.naver.com/catalog/33042274618
174,로우락 레인보우 짐볼 55cm,짐볼,https://shopping-phinf.pstatic.net/main_3622744/36227443618.20221201174305.jpg?type=f640,9882,2022-12-01,9,https://search.shopping.naver.com/catalog/36227443618
175,차이 코어 밸런싱 짐볼체어,"종류 : 짐볼색상 : 그레이, 핑크, 민트, 베이지",https://shopping-phinf.pstatic.net/main_3319053/33190530620.20220629114424.jpg?type=f640,149000,2022-06-01,9,https://search.shopping.naver.com/catalog/33190530620
176,아디다스 안티버스트 짐볼 65CM AD-12246,"크기 : 65cm특징 : 터짐방지색상 : 그레이, 블루, 레드",https://shopping-phinf.pstatic.net/main_5783461/5783461444.20220223092733.jpg?type=f60,25430,2011-06-01,9,https://search.shopping.naver.com/catalog/5783461444
177,아디다스피트니스 안티버스트 짐볼 75cm,"종류 : 짐볼형태 : 원형크기 : 75cm특징 : 터짐방지, 미끄럼방지색상 : 블랙, 그레이",https://shopping-phinf.pstatic.net/main_3652009/36520090620.20230302091831.jpg?type=f60,25030,2022-12-01,9,https://search.shopping.naver.com/catalog/36520090620
